CustomerID,TotalComprado,Rank
14646,280206.0200000001,1
18102,259657.30000000005,2
17450,194390.79000000004,3
16446,168472.5,4
14911,143711.16999999995,5
12415,124914.53000000001,6
14156,117210.07999999999,7
17511,91062.38,8
16029,80850.84000000001,9
12346,77183.6,10
16684,66653.56,11
14096,65164.79000000009,12
13694,65039.619999999995,13
15311,60632.74999999997,14
13089,58762.07999999999,15
17949,58510.479999999996,16
15769,56252.719999999994,17
15061,54534.14,18
14298,51527.299999999996,19
14088,50491.81000000001,20
15749,44534.3,21
12931,42055.96,22
17841,40519.83999999994,23
15098,39916.5,24
13798,37153.850000000006,25
16013,37130.600000000006,26
16422,34684.4,27
15838,33643.08,28
12748,33053.18999999998,29
17404,31906.82,30
17389,31833.68,31
13098,28882.44,32
14680,28754.11,33
13081,28337.379999999997,34
13408,28117.04,35
17857,26879.04,36
16333,26626.800000000003,37
13777,25977.160000000003,38
12753,21429.39,39
12744,21279.29,40
16210,21086.3,41
17675,20374.280000000002,42
17381,20275.61,43
12471,19788.649999999998,44
15039,19766.590000000004,45
12731,18895.91,46
15159,18641.010000000002,47
12901,17654.54,48
12678,17628.46,49
14031,17286.86,50
17428,17256.85,51
13767,17220.36,52
13881,17159.52,53
16839,16594.350000000002,54
12921,16587.09,55
17677,16345.380000000003,56
15189,16225.39,57
14607,16209.499999999998,58
15856,16143.64,59
14051,15610.389999999998,60
15513,14758.220000000001,61
16133,14589.04,62
14866,14389.899999999998,63
16705,14034.989999999998,64
12681,13787.539999999997,65
12621,13689.670000000002,66
12540,13400.240000000002,67
12433,13375.87,68
15498,13316.4,69
12477,13219.740000000002,70
17735,13110.019999999997,71
16525,13027.45,72
14258,12669.98,73
13078,12627.94,74
12536,12601.830000000004,75
15640,12416.110000000002,76
16000,12393.7,77
17340,12353.289999999999,78
12682,12279.819999999998,79
13113,12245.96,80
14606,12076.150000000012,81
12557,11990.960000000001,82
12939,11581.8,83
15125,11528.48,84
14194,11349.519999999997,85
12971,11189.910000000002,86
14895,11138.71,87
12409,11072.67,88
17581,11025.240000000002,89
15482,10879.760000000002,90
13319,10845.55,91
17107,10797.48,92
13340,10736.48,93
17139,10650.77,94
16779,10611.720000000001,95
17865,10526.32,96
17706,10504.490000000002,97
15251,10484.99,98
14062,10464.85,99
14769,10416.98,100
15615,10399.739999999998,101
15502,10384.93,102
16180,10254.18,103
16843,10196.57,104
12590,9864.259999999998,105
13199,9817.12,106
13001,9785.970000000001,107
15078,9743.109999999997,108
12709,9706.52,109
13458,9646.569999999998,110
14733,9585.909999999998,111
16523,9418.47,112
12567,9401.279999999999,113
14367,9227.82,114
14667,9175.039999999999,115
18092,9068.259999999998,116
12451,9035.52,117
13969,9024.17,118
13488,8968.31,119
13090,8910.820000000002,120
16033,8778.82,121
17017,8694.259999999998,122
17306,8631.31,123
16656,8625.800000000001,124
17243,8540.05,125
14527,8507.130000000005,126
